answer,prediction,correct
gvPlCiNcC,gvPlCiNcC,tensor(True)
BEIQQG,BEIQQG,tensor(True)
jbdjbASR,UQOyGTb,tensor(False)
DVQXZ,DVQXZ,tensor(True)
jbdjbASR,jbdjbASR,tensor(True)
BOSMSC,BOSMSC,tensor(True)
BEIQQG,BEIQQG,tensor(True)
LPULEJ,LPULEJ,tensor(True)
AZHSUT,AZHSUT,tensor(True)
ZWNFNXY,ZWNFNXY,tensor(True)
VBXDXMCR,VBXDXMCR,tensor(True)
UNDBBGL,UNDBBGL,tensor(True)
XHNMOVNXJ,XHNMOVNXJ,tensor(True)
geLJzcIl,ZFUmS,tensor(False)
Cpkry,Cpkry,tensor(True)
LPULEJ,LPULEJ,tensor(True)
Cpkry,Cpkry,tensor(True)
XHNMOVNXJ,XHNMOVNXJ,tensor(True)
ZOMWUC,ZOMWUC,tensor(True)
yMLLeCV,yMLLeCV,tensor(True)
ETSBO,ETSBO,tensor(True)
gSUwcPItT,gSUwcPItT,tensor(True)
DVQXZ,DVQXZ,tensor(True)
GNUAEG,GNUAEG,tensor(True)
iFgynLNU,iFgynLNU,tensor(True)
AZHSUT,HKDVEII,tensor(False)
GhpknP,gSUwcPItT,tensor(False)
ZFUmS,LgVyaVOf,tensor(False)
BDBHAHJ,BDBHAHJ,tensor(True)
ETSBO,ETSBO,tensor(True)
gvPlCiNcC,gvPlCiNcC,tensor(True)
IRRGP,IRRGP,tensor(True)
wSNkVCi,wJbGjQJUw,tensor(False)
wSNkVCi,jPVHHsOgJ,tensor(False)
AFOIOPHDU,AFOIOPHDU,tensor(True)
LPULEJ,LPULEJ,tensor(True)
KLPAUGQ,KLPAUGQ,tensor(True)
UQOyGTb,UQOyGTb,tensor(True)
zrihZP,KewPrG,tensor(False)
ePOEHQBEg,ePOEHQBEg,tensor(True)
zUeTolpLV,zUeTolpLV,tensor(True)
wJbGjQJUw,kKpNaxsYu,tensor(False)
PviJafwKh,PviJafwKh,tensor(True)
QNOSs,xVurxF,tensor(False)
NFHABWL,NFHABWL,tensor(True)
UKZJZLG,UKZJZLG,tensor(True)
Cpkry,Cpkry,tensor(True)
EMMRQ,EMMRQ,tensor(True)
NGUQWWI,NGUQWWI,tensor(True)
TbtqXZzJ,iFgynLNU,tensor(False)
TPpczBqq,SYZOyJL,tensor(False)
TPpczBqq,PChBZkHx,tensor(False)
ZFUmS,LgVyaVOf,tensor(False)
KMOFBSGQY,KMOFBSGQY,tensor(True)
NGUQWWI,NGUQWWI,tensor(True)
geLJzcIl,geLJzcIl,tensor(True)
ePOEHQBEg,tNSzLnwo,tensor(False)
iFgynLNU,iFgynLNU,tensor(True)
daxVt,daxVt,tensor(True)
NFHABWL,NFHABWL,tensor(True)
wJbGjQJUw,wSNkVCi,tensor(False)
JNJPVAZW,JNJPVAZW,tensor(True)
KMOFBSGQY,KMOFBSGQY,tensor(True)
yMLLeCV,daxVt,tensor(False)
TPpczBqq,jPVHHsOgJ,tensor(False)
uaTBKDT,uaTBKDT,tensor(True)
IIGRS,IIGRS,tensor(True)
RkGtkxwy,RkGtkxwy,tensor(True)
UQGPQV,UQGPQV,tensor(True)
Cpkry,Cpkry,tensor(True)
LPULEJ,LPULEJ,tensor(True)
GSHKKXL,GSHKKXL,tensor(True)
JNJPVAZW,JNJPVAZW,tensor(True)
UKZJZLG,UKZJZLG,tensor(True)
KZFSVVJYV,KZFSVVJYV,tensor(True)
zUeTolpLV,zUeTolpLV,tensor(True)
tbtXDCCeO,tbtXDCCeO,tensor(True)
LEPQFNWX,LEPQFNWX,tensor(True)
NFHABWL,NFHABWL,tensor(True)
UQGPQV,UQGPQV,tensor(True)
TPmnioHMQ,TPmnioHMQ,tensor(True)
UNDBBGL,UNDBBGL,tensor(True)
AwqBLJkIZ,AwqBLJkIZ,tensor(True)
HKDVEII,HKDVEII,tensor(True)
QNOSs,QNOSs,tensor(True)
PChBZkHx,PChBZkHx,tensor(True)
RkGtkxwy,RkGtkxwy,tensor(True)
USLMUMI,USLMUMI,tensor(True)
xVurxF,QJTpnf,tensor(False)
kKpNaxsYu,kKpNaxsYu,tensor(True)
AwqBLJkIZ,AwqBLJkIZ,tensor(True)
GhpknP,GhpknP,tensor(True)
xVurxF,Tuhwwj,tensor(False)
JHJEZJU,JHJEZJU,tensor(True)
tbtXDCCeO,tbtXDCCeO,tensor(True)
eFfoyv,eFfoyv,tensor(True)
GNUAEG,GNUAEG,tensor(True)
tbtXDCCeO,tbtXDCCeO,tensor(True)
LgVyaVOf,LgVyaVOf,tensor(True)
jTpey,jTpey,tensor(True)
DQKbAw,PviJafwKh,tensor(False)
ZOGQCJNP,ZOGQCJNP,tensor(True)
JHJEZJU,UKZJZLG,tensor(False)
IIGRS,IIGRS,tensor(True)
geLJzcIl,lIiXM,tensor(False)
Tuhwwj,PviJafwKh,tensor(False)
gaYed,uqvJVviwA,tensor(False)
zUeTolpLV,zUeTolpLV,tensor(True)
QNOSs,UQOyGTb,tensor(False)
gaYed,QJTpnf,tensor(False)
tNSzLnwo,tNSzLnwo,tensor(True)
TPpczBqq,uaTBKDT,tensor(False)
AVSQRUTR,NGUQWWI,tensor(False)
NGUQWWI,NGUQWWI,tensor(True)
xVurxF,xVurxF,tensor(True)
wJbGjQJUw,uqvJVviwA,tensor(False)
jTpey,Tuhwwj,tensor(False)
tbtXDCCeO,tbtXDCCeO,tensor(True)
uqvJVviwA,uqvJVviwA,tensor(True)
yMLLeCV,yMLLeCV,tensor(True)
AJXRHOOMO,AJXRHOOMO,tensor(True)
UKZJZLG,UKZJZLG,tensor(True)
AVSQRUTR,AVSQRUTR,tensor(True)
PChBZkHx,PChBZkHx,tensor(True)
YJRRDIR,YJRRDIR,tensor(True)
DQKbAw,RkGtkxwy,tensor(False)
ZOMWUC,ZOMWUC,tensor(True)
zUeTolpLV,zUeTolpLV,tensor(True)
UKZJZLG,UKZJZLG,tensor(True)
DsIQCjqAm,AbAkvb,tensor(False)
DsIQCjqAm,DsIQCjqAm,tensor(True)
LgVyaVOf,gSUwcPItT,tensor(False)
UQGPQV,UQGPQV,tensor(True)
DwFHpaoh,PviJafwKh,tensor(False)
PJcCdxgW,PJcCdxgW,tensor(True)
Cpkry,eFfoyv,tensor(False)
UKZJZLG,UKZJZLG,tensor(True)
BDBHAHJ,BDBHAHJ,tensor(True)
IJGDOS,IJGDOS,tensor(True)
UGOBM,UGOBM,tensor(True)
CJOEP,CJOEP,tensor(True)
WFEXRQQGU,WFEXRQQGU,tensor(True)
IIGRS,IIGRS,tensor(True)
IRRGP,UQGPQV,tensor(False)
NGUQWWI,NGUQWWI,tensor(True)
JHJEZJU,JHJEZJU,tensor(True)
TPpczBqq,ePOEHQBEg,tensor(False)
gaYed,gaYed,tensor(True)
ZFUmS,ZFUmS,tensor(True)
WFEXRQQGU,WFEXRQQGU,tensor(True)
DVQXZ,DVQXZ,tensor(True)
KMOFBSGQY,KMOFBSGQY,tensor(True)
DVQXZ,DVQXZ,tensor(True)
IAGSEVBJA,IAGSEVBJA,tensor(True)
DQKbAw,RkGtkxwy,tensor(False)
Cpkry,QJTpnf,tensor(False)
uaTBKDT,uaTBKDT,tensor(True)
zrihZP,uaTBKDT,tensor(False)
IAGSEVBJA,IAGSEVBJA,tensor(True)
wJbGjQJUw,wSNkVCi,tensor(False)
iFgynLNU,TPpczBqq,tensor(False)
lIiXM,lIiXM,tensor(True)
KMOFBSGQY,KMOFBSGQY,tensor(True)
AZHSUT,AZHSUT,tensor(True)
NFHABWL,NFHABWL,tensor(True)
GSHKKXL,GSHKKXL,tensor(True)
iipumBxGM,uaTBKDT,tensor(False)
JNJPVAZW,JNJPVAZW,tensor(True)
TPmnioHMQ,TPmnioHMQ,tensor(True)
uaTBKDT,uaTBKDT,tensor(True)
GNUAEG,GNUAEG,tensor(True)
BOSMSC,BOSMSC,tensor(True)
SNeoKXFD,SNeoKXFD,tensor(True)
tNSzLnwo,tNSzLnwo,tensor(True)
KLPAUGQ,KLPAUGQ,tensor(True)
yMLLeCV,yMLLeCV,tensor(True)
KewPrG,gSUwcPItT,tensor(False)
TbtqXZzJ,TPpczBqq,tensor(False)
BEIQQG,BEIQQG,tensor(True)
WJMOIQSDG,WJMOIQSDG,tensor(True)
POHIVNQ,POHIVNQ,tensor(True)
USLMUMI,USLMUMI,tensor(True)
ePOEHQBEg,ePOEHQBEg,tensor(True)
GNUAEG,GNUAEG,tensor(True)
jPVHHsOgJ,iipumBxGM,tensor(False)
KZFSVVJYV,KZFSVVJYV,tensor(True)
NGUQWWI,NGUQWWI,tensor(True)
yMLLeCV,geLJzcIl,tensor(False)
BOSMSC,BOSMSC,tensor(True)
VdHzdBhFv,VdHzdBhFv,tensor(True)
zrihZP,ZFUmS,tensor(False)
VdHzdBhFv,tNSzLnwo,tensor(False)
JHJEZJU,JHJEZJU,tensor(True)
LEPQFNWX,LEPQFNWX,tensor(True)
AFOIOPHDU,AFOIOPHDU,tensor(True)
AZHSUT,AZHSUT,tensor(True)
PviJafwKh,PJcCdxgW,tensor(False)
PviJafwKh,PviJafwKh,tensor(True)
tNSzLnwo,tNSzLnwo,tensor(True)
BDBHAHJ,BDBHAHJ,tensor(True)
xVurxF,SYZOyJL,tensor(False)
NGUQWWI,NGUQWWI,tensor(True)
QNOSs,UQOyGTb,tensor(False)
VBXDXMCR,VBXDXMCR,tensor(True)
JHJEZJU,JHJEZJU,tensor(True)
DQKbAw,RkGtkxwy,tensor(False)
wJbGjQJUw,kKpNaxsYu,tensor(False)
TbtqXZzJ,TbtqXZzJ,tensor(True)
DQKbAw,PJcCdxgW,tensor(False)
tNSzLnwo,tNSzLnwo,tensor(True)
UNDBBGL,UNDBBGL,tensor(True)
PJcCdxgW,PJcCdxgW,tensor(True)
FHGQMQF,FHGQMQF,tensor(True)
GhpknP,GhpknP,tensor(True)
YJRRDIR,SWYIVJ,tensor(False)
GhpknP,GhpknP,tensor(True)
BDBHAHJ,BDBHAHJ,tensor(True)
USLMUMI,USLMUMI,tensor(True)
TPpczBqq,TbtqXZzJ,tensor(False)
XHNMOVNXJ,XHNMOVNXJ,tensor(True)
lIiXM,jTpey,tensor(False)
ePOEHQBEg,ePOEHQBEg,tensor(True)
tbtXDCCeO,tbtXDCCeO,tensor(True)
ZOMWUC,ZOMWUC,tensor(True)
PJcCdxgW,PJcCdxgW,tensor(True)
WFEXRQQGU,WFEXRQQGU,tensor(True)
AwqBLJkIZ,JBRFUSL,tensor(False)
Cpkry,Cpkry,tensor(True)
zrihZP,uaTBKDT,tensor(False)
VdHzdBhFv,VdHzdBhFv,tensor(True)
SYZOyJL,gSUwcPItT,tensor(False)
EMMRQ,EMMRQ,tensor(True)
LgVyaVOf,QJTpnf,tensor(False)
AwqBLJkIZ,AwqBLJkIZ,tensor(True)
IRRGP,IRRGP,tensor(True)
BIQCZAY,BIQCZAY,tensor(True)
LPULEJ,LPULEJ,tensor(True)
XHNMOVNXJ,XHNMOVNXJ,tensor(True)
IAGSEVBJA,IAGSEVBJA,tensor(True)
DUIVVSGVL,DUIVVSGVL,tensor(True)
AFOIOPHDU,AFOIOPHDU,tensor(True)
YJRRDIR,YJRRDIR,tensor(True)
gvPlCiNcC,PviJafwKh,tensor(False)
KewPrG,QJTpnf,tensor(False)
WFEXRQQGU,WFEXRQQGU,tensor(True)
lIiXM,lIiXM,tensor(True)
daxVt,GhpknP,tensor(False)
QNOSs,QNOSs,tensor(True)
daxVt,QJTpnf,tensor(False)
Tuhwwj,Tuhwwj,tensor(True)
iipumBxGM,iipumBxGM,tensor(True)
JBRFUSL,JBRFUSL,tensor(True)
VdHzdBhFv,uaTBKDT,tensor(False)
JHJEZJU,JHJEZJU,tensor(True)
DVQXZ,DVQXZ,tensor(True)
JNJPVAZW,JNJPVAZW,tensor(True)
ZOGQCJNP,ZOGQCJNP,tensor(True)
IRRGP,IRRGP,tensor(True)
xVurxF,lIiXM,tensor(False)
BIQCZAY,BIQCZAY,tensor(True)
GZNKFXUJO,GZNKFXUJO,tensor(True)
zUeTolpLV,zUeTolpLV,tensor(True)
LEPQFNWX,LEPQFNWX,tensor(True)
BOSMSC,BOSMSC,tensor(True)
xVurxF,KewPrG,tensor(False)
iFgynLNU,jPVHHsOgJ,tensor(False)
EMMRQ,EMMRQ,tensor(True)
jPVHHsOgJ,iipumBxGM,tensor(False)
iipumBxGM,iipumBxGM,tensor(True)
kKpNaxsYu,wJbGjQJUw,tensor(False)
gSUwcPItT,gSUwcPItT,tensor(True)
BIQCZAY,BIQCZAY,tensor(True)
ZWNFNXY,ZWNFNXY,tensor(True)
DsIQCjqAm,DsIQCjqAm,tensor(True)
LEPQFNWX,LEPQFNWX,tensor(True)
DQKbAw,RkGtkxwy,tensor(False)
wSNkVCi,wSNkVCi,tensor(True)
jbdjbASR,jbdjbASR,tensor(True)
WJMOIQSDG,WJMOIQSDG,tensor(True)
IIGRS,IIGRS,tensor(True)
JEOVLZJRS,JEOVLZJRS,tensor(True)
IRRGP,IRRGP,tensor(True)
lIiXM,jTpey,tensor(False)
DwFHpaoh,DwFHpaoh,tensor(True)
POHIVNQ,POHIVNQ,tensor(True)
AJXRHOOMO,AJXRHOOMO,tensor(True)
daxVt,LgVyaVOf,tensor(False)
IAGSEVBJA,IAGSEVBJA,tensor(True)
BOSMSC,BOSMSC,tensor(True)
UNDBBGL,UNDBBGL,tensor(True)
geLJzcIl,geLJzcIl,tensor(True)
XHNMOVNXJ,XHNMOVNXJ,tensor(True)
LPULEJ,LPULEJ,tensor(True)
GSHKKXL,GSHKKXL,tensor(True)
DwFHpaoh,PviJafwKh,tensor(False)
DUIVVSGVL,GNUAEG,tensor(False)
wSNkVCi,wSNkVCi,tensor(True)
KLPAUGQ,KLPAUGQ,tensor(True)
kKpNaxsYu,kKpNaxsYu,tensor(True)
GZNKFXUJO,GZNKFXUJO,tensor(True)
uaTBKDT,uaTBKDT,tensor(True)
xVurxF,xVurxF,tensor(True)
eFfoyv,eFfoyv,tensor(True)
IIGRS,IIGRS,tensor(True)
KewPrG,Tuhwwj,tensor(False)
JBRFUSL,JBRFUSL,tensor(True)
NFHABWL,NFHABWL,tensor(True)
VdHzdBhFv,VdHzdBhFv,tensor(True)
uaTBKDT,uaTBKDT,tensor(True)
SYZOyJL,SYZOyJL,tensor(True)
AbAkvb,jbdjbASR,tensor(False)
UQOyGTb,UQOyGTb,tensor(True)
SYZOyJL,ZFUmS,tensor(False)
JNJPVAZW,JNJPVAZW,tensor(True)
ZWNFNXY,ZWNFNXY,tensor(True)
kKpNaxsYu,wJbGjQJUw,tensor(False)
LPULEJ,LPULEJ,tensor(True)
FCOKIXAE,FCOKIXAE,tensor(True)
uqvJVviwA,uqvJVviwA,tensor(True)
USLMUMI,USLMUMI,tensor(True)
tbtXDCCeO,VdHzdBhFv,tensor(False)
UQOyGTb,LgVyaVOf,tensor(False)
USLMUMI,USLMUMI,tensor(True)
DQKbAw,uaTBKDT,tensor(False)
DQKbAw,PviJafwKh,tensor(False)
CJOEP,CJOEP,tensor(True)
AwqBLJkIZ,uaTBKDT,tensor(False)
PGJKM,PGJKM,tensor(True)
SNeoKXFD,gvPlCiNcC,tensor(False)
wSNkVCi,wJbGjQJUw,tensor(False)
QJTpnf,QJTpnf,tensor(True)
ZKTXXGYB,ZKTXXGYB,tensor(True)
iipumBxGM,iipumBxGM,tensor(True)
SNeoKXFD,SNeoKXFD,tensor(True)
ZOMWUC,ZOMWUC,tensor(True)
UQGPQV,UQGPQV,tensor(True)
FHGQMQF,FHGQMQF,tensor(True)
ETSBO,ETSBO,tensor(True)
iipumBxGM,iipumBxGM,tensor(True)
BOSMSC,BOSMSC,tensor(True)
eFfoyv,eFfoyv,tensor(True)
uqvJVviwA,uqvJVviwA,tensor(True)
tbtXDCCeO,tbtXDCCeO,tensor(True)
IJGDOS,IJGDOS,tensor(True)
VBXDXMCR,AVSQRUTR,tensor(False)
DwFHpaoh,ECIuixhc,tensor(False)
KZFSVVJYV,KZFSVVJYV,tensor(True)
AFOIOPHDU,AFOIOPHDU,tensor(True)
POHIVNQ,POHIVNQ,tensor(True)
ETSBO,ETSBO,tensor(True)
NFHABWL,NFHABWL,tensor(True)
WFEXRQQGU,WFEXRQQGU,tensor(True)
AbAkvb,UQOyGTb,tensor(False)
uqvJVviwA,uqvJVviwA,tensor(True)
AZHSUT,AZHSUT,tensor(True)
ZOGQCJNP,ZOGQCJNP,tensor(True)
YJRRDIR,YJRRDIR,tensor(True)
uqvJVviwA,PviJafwKh,tensor(False)
jPVHHsOgJ,PJcCdxgW,tensor(False)
BOSMSC,BOSMSC,tensor(True)
gSUwcPItT,gSUwcPItT,tensor(True)
geLJzcIl,geLJzcIl,tensor(True)
jbdjbASR,iFgynLNU,tensor(False)
ECIuixhc,PviJafwKh,tensor(False)
geLJzcIl,lIiXM,tensor(False)
ZKTXXGYB,ZOMWUC,tensor(False)
uaTBKDT,JBRFUSL,tensor(False)
LPULEJ,LPULEJ,tensor(True)
ETSBO,ETSBO,tensor(True)
RkGtkxwy,RkGtkxwy,tensor(True)
daxVt,daxVt,tensor(True)
iFgynLNU,TPpczBqq,tensor(False)
lIiXM,lIiXM,tensor(True)
GNUAEG,GNUAEG,tensor(True)
uqvJVviwA,wSNkVCi,tensor(False)
tNSzLnwo,SNeoKXFD,tensor(False)
IJGDOS,IJGDOS,tensor(True)
Cpkry,Cpkry,tensor(True)
ZWNFNXY,ZWNFNXY,tensor(True)
uqvJVviwA,uqvJVviwA,tensor(True)
QJTpnf,QJTpnf,tensor(True)
WFEXRQQGU,WFEXRQQGU,tensor(True)
GSHKKXL,GSHKKXL,tensor(True)
GhpknP,QJTpnf,tensor(False)
KLPAUGQ,KLPAUGQ,tensor(True)
AFOIOPHDU,AFOIOPHDU,tensor(True)
UKZJZLG,JHJEZJU,tensor(False)
QJTpnf,QJTpnf,tensor(True)
iipumBxGM,iipumBxGM,tensor(True)
AZHSUT,CJOEP,tensor(False)
RkGtkxwy,RkGtkxwy,tensor(True)
ZOMWUC,ZOMWUC,tensor(True)
IIGRS,IIGRS,tensor(True)
eFfoyv,eFfoyv,tensor(True)
RkGtkxwy,RkGtkxwy,tensor(True)
UQGPQV,UQGPQV,tensor(True)
GZNKFXUJO,GZNKFXUJO,tensor(True)
VdHzdBhFv,uaTBKDT,tensor(False)
HKDVEII,HKDVEII,tensor(True)
VdHzdBhFv,tNSzLnwo,tensor(False)
LEPQFNWX,LEPQFNWX,tensor(True)
GhpknP,KewPrG,tensor(False)
SNeoKXFD,SNeoKXFD,tensor(True)
IRRGP,IRRGP,tensor(True)
ZKTXXGYB,ZKTXXGYB,tensor(True)
JHJEZJU,JHJEZJU,tensor(True)
UNDBBGL,UNDBBGL,tensor(True)
GZNKFXUJO,GZNKFXUJO,tensor(True)
ETSBO,ETSBO,tensor(True)
QJTpnf,QJTpnf,tensor(True)
JNJPVAZW,JNJPVAZW,tensor(True)
uaTBKDT,iFgynLNU,tensor(False)
AZHSUT,AZHSUT,tensor(True)
GNUAEG,GNUAEG,tensor(True)
eFfoyv,eFfoyv,tensor(True)
FCOKIXAE,FCOKIXAE,tensor(True)
GSHKKXL,GSHKKXL,tensor(True)
eFfoyv,Cpkry,tensor(False)
VdHzdBhFv,VdHzdBhFv,tensor(True)
BEIQQG,BEIQQG,tensor(True)
SNeoKXFD,SNeoKXFD,tensor(True)
gSUwcPItT,gvPlCiNcC,tensor(False)
jPVHHsOgJ,DwFHpaoh,tensor(False)
UNDBBGL,UNDBBGL,tensor(True)
AJXRHOOMO,AJXRHOOMO,tensor(True)
POHIVNQ,POHIVNQ,tensor(True)
gaYed,QJTpnf,tensor(False)
PJcCdxgW,PJcCdxgW,tensor(True)
FCOKIXAE,FCOKIXAE,tensor(True)
JHJEZJU,JHJEZJU,tensor(True)
WFEXRQQGU,WFEXRQQGU,tensor(True)
tbtXDCCeO,tbtXDCCeO,tensor(True)
VdHzdBhFv,uaTBKDT,tensor(False)
KZFSVVJYV,KZFSVVJYV,tensor(True)
GNUAEG,GNUAEG,tensor(True)
FHGQMQF,FHGQMQF,tensor(True)
SNeoKXFD,SNeoKXFD,tensor(True)
kKpNaxsYu,kKpNaxsYu,tensor(True)
uaTBKDT,uaTBKDT,tensor(True)
UQGPQV,UQGPQV,tensor(True)
KLPAUGQ,KLPAUGQ,tensor(True)
zUeTolpLV,zUeTolpLV,tensor(True)
AwqBLJkIZ,ePOEHQBEg,tensor(False)
DQKbAw,DwFHpaoh,tensor(False)
BOSMSC,BOSMSC,tensor(True)
ePOEHQBEg,uaTBKDT,tensor(False)
DQKbAw,DQKbAw,tensor(True)
HKDVEII,HKDVEII,tensor(True)
jbdjbASR,AbAkvb,tensor(False)
yMLLeCV,jbdjbASR,tensor(False)
DVQXZ,DVQXZ,tensor(True)
gaYed,jTpey,tensor(False)
gSUwcPItT,gSUwcPItT,tensor(True)
Tuhwwj,Tuhwwj,tensor(True)
zUeTolpLV,ECIuixhc,tensor(False)
PGJKM,PGJKM,tensor(True)
xVurxF,xVurxF,tensor(True)
POHIVNQ,POHIVNQ,tensor(True)
tNSzLnwo,tNSzLnwo,tensor(True)
VBXDXMCR,VBXDXMCR,tensor(True)
tNSzLnwo,iipumBxGM,tensor(False)
NFHABWL,NFHABWL,tensor(True)
JHJEZJU,JHJEZJU,tensor(True)
POHIVNQ,POHIVNQ,tensor(True)
AFOIOPHDU,AFOIOPHDU,tensor(True)
DwFHpaoh,DwFHpaoh,tensor(True)
daxVt,PJcCdxgW,tensor(False)
NGUQWWI,NGUQWWI,tensor(True)
PJcCdxgW,PJcCdxgW,tensor(True)
KLPAUGQ,AZHSUT,tensor(False)
FCOKIXAE,FCOKIXAE,tensor(True)
lIiXM,yMLLeCV,tensor(False)
SWYIVJ,SWYIVJ,tensor(True)
ETSBO,ETSBO,tensor(True)
QNOSs,QNOSs,tensor(True)
USLMUMI,USLMUMI,tensor(True)
ZKTXXGYB,ZKTXXGYB,tensor(True)
jTpey,QJTpnf,tensor(False)
EMMRQ,EMMRQ,tensor(True)
GZNKFXUJO,GZNKFXUJO,tensor(True)
IJGDOS,IJGDOS,tensor(True)
RkGtkxwy,RkGtkxwy,tensor(True)
KLPAUGQ,GNUAEG,tensor(False)
LEPQFNWX,LEPQFNWX,tensor(True)
QJTpnf,QJTpnf,tensor(True)
LPULEJ,LPULEJ,tensor(True)
KLPAUGQ,AFOIOPHDU,tensor(False)
AFOIOPHDU,AFOIOPHDU,tensor(True)
gvPlCiNcC,gSUwcPItT,tensor(False)
DVQXZ,CJOEP,tensor(False)
AwqBLJkIZ,AwqBLJkIZ,tensor(True)
DsIQCjqAm,DsIQCjqAm,tensor(True)
QNOSs,QNOSs,tensor(True)
wJbGjQJUw,wJbGjQJUw,tensor(True)
lIiXM,lIiXM,tensor(True)
AFOIOPHDU,AFOIOPHDU,tensor(True)
uaTBKDT,uaTBKDT,tensor(True)
VBXDXMCR,VBXDXMCR,tensor(True)
BIQCZAY,BIQCZAY,tensor(True)
Tuhwwj,Tuhwwj,tensor(True)
AbAkvb,AbAkvb,tensor(True)
XHNMOVNXJ,XHNMOVNXJ,tensor(True)
JEOVLZJRS,JEOVLZJRS,tensor(True)
xVurxF,daxVt,tensor(False)
eFfoyv,zUeTolpLV,tensor(False)
PviJafwKh,LgVyaVOf,tensor(False)
UKZJZLG,UKZJZLG,tensor(True)
KMOFBSGQY,KMOFBSGQY,tensor(True)
BEIQQG,BEIQQG,tensor(True)
GhpknP,xVurxF,tensor(False)
TPmnioHMQ,TPmnioHMQ,tensor(True)
GSHKKXL,GSHKKXL,tensor(True)
gaYed,gaYed,tensor(True)
RkGtkxwy,RkGtkxwy,tensor(True)
ZOGQCJNP,ZOGQCJNP,tensor(True)
LgVyaVOf,daxVt,tensor(False)
IAGSEVBJA,IAGSEVBJA,tensor(True)
KLPAUGQ,KLPAUGQ,tensor(True)
KLPAUGQ,KLPAUGQ,tensor(True)
UQOyGTb,LgVyaVOf,tensor(False)
ECIuixhc,DwFHpaoh,tensor(False)
LEPQFNWX,LEPQFNWX,tensor(True)
POHIVNQ,POHIVNQ,tensor(True)
ZWNFNXY,ZWNFNXY,tensor(True)
gvPlCiNcC,KewPrG,tensor(False)
BEIQQG,BIQCZAY,tensor(False)
wJbGjQJUw,wJbGjQJUw,tensor(True)
