actual,predicted,correct
kptOjjRR,kptOjjRR,True
KDbpeRbC,KDbpeRbC,True
fLfeUKocV,fLieUKocV,False
zWSlqyujp,zWSIqyujp,False
JSXWUt,JSXWUt,True
xPgwoq,xPgwoq,True
varwidREi,varwiHREi,False
SfJNJ,SfJNJ,True
FMDzREUk,FMDzREUk,True
MRAdA,MRAdA,True
FtdlgM,FtdlgM,True
qgqrgV,qggrgV,False
MSghDsT,MSghDsT,True
TKASyY,TKASyY,True
jdKuZUpT,jdKuZUpT,True
bCbGM,bCbGM,True
nzgxw,nzgxw,True
nuKmt,nuKmt,True
VDOweMsn,VDOweMsn,True
OYUlI,OYUIl,False
PYdVrfVx,PYdVrfVx,True
lomkWfEM,lmmkWfEM,False
lKllF,lKllF,True
FmcDHTV,FmcDHTV,True
rGYul,rGYul,True
sHoxWyy,sHoxWyy,True
YHbkHmK,YHbkHmK,True
JbWob,JbWob,True
KAcSZAe,KAcSZAe,True
mxHPh,mxHPh,True
cSYCet,cSYCet,True
kxtgeB,kxtgeB,True
HXoQqqh,HXoQqqh,True
lZdmjm,IZdmjm,False
neMkcZQ,neMkcZQ,True
vnzHJtwh,vmzHJtwh,False
ZCgvgGjcw,ZCgvgGjcw,True
LidKo,LidKo,True
aPFkY,aPFkY,True
WUAAhO,WUAAhO,True
muczaKuHI,muczaKuHI,True
sSKxO,sSKxO,True
tHtTCNz,tHtTCNz,True
yTUHBB,yTUHBB,True
BBFfH,BBFfH,True
hEGrTXW,hEGrTXW,True
cwZbhN,cwZbhN,True
cxkQp,cxkQp,True
nnaxOC,nnaxOC,True
nTWLpvta,nTWLpvta,True
hQuJwdIJ,hQuJwdlJ,False
CmiekhN,CmiekhN,True
JLlNg,JLlNg,True
tcBmgh,tcBmgh,True
gSRuCnMv,gSRuCnMv,True
ONVsdUv,ONVsdUv,True
OhxGQtlfY,OhxGQttfY,False
crojd,crojd,True
dcnuedDoH,dcnuedDoH,True
XAqOkp,XAqOkp,True
XvBwYFYxp,XvBwYYYxp,False
azGhaelh,azGhaelh,True
uJxLmLnJC,uJxLmLnJC,True
CyiaIVJQh,CyialVJQh,False
ZXNuAk,ZXNuAk,True
kjFsVOgze,kjFsVOgze,True
HZJsq,HZJsq,True
OvpTxFUZu,OypTxFUZu,False
rkvpVgwe,rkvpVgwe,True
XwDRD,XwDRD,True
uaMYPHpl,uaMYPHpI,False
eLPXdELk,eLPXdELk,True
FvzNi,FvzNi,True
AOAwQ,AOAwQ,True
DTagmk,DTagmk,True
lstcf,lstcf,True
SBIaByO,SBIBByO,False
HUAkF,HUAkF,True
NwJUU,NwJUU,True
xiXfTCZ,xiXfTCZ,True
ltKwMeJPb,ltKwMeJPb,True
lNLJLH,lNLJLH,True
uBvpyzqo,uBypyzqo,False
zLYVTZ,zLYVTZ,True
cWLViODf,cWLViDDf,False
qTBmWvag,qTBmWvag,True
hKKPL,hKKPL,True
bmDlCg,bmDlCg,True
BfBghvZ,BfBghvZ,True
QUGXnz,QUGXnz,True
fqVXS,fqVXS,True
dmYyCrHQI,dmYyCrHQl,False
fNKkzyCSE,fNKkzyCSE,True
DHBRP,DHBRP,True
ycHer,ycHer,True
ENrKO,ENrKO,True
FpGlzhi,FpGIzhi,False
aWyzGP,aWyzGP,True
sWqeZUB,sWqeZUB,True
yaYloN,yaYIoN,False
ggosCUk,ggosCUk,True
IMhyMvQ,lMhyMvQ,False
WJVPuLjWg,WJVPuLjWg,True
lquOWgfxm,lquOWgfxm,True
VeMytSiM,VeMytSiM,True
txmXXGp,txmXXGp,True
mfgxQAUiD,mfgxQAUiD,True
cwiFjS,cwiFjS,True
XTZUHPF,XTZUHPF,True
OEmlRxYb,OEmlRxYb,True
WHZnV,WHZnV,True
lzuebi,Izuebi,False
yVbOUE,yVbOUE,True
jBNgqOiK,jBNqqQiK,False
gRsBEX,gRsBEX,True
FGwte,FGwte,True
NooVtle,NooVtle,True
cOuvqFP,cOuvqFP,True
EznXSCPjE,EznXSCFjE,False
PmCcedzQA,PmCcedzQA,True
BHDDcAUVT,BHDDcAUVT,True
yPjrkAkv,yPjrxAkv,False
zKZkhZGj,zKZkhZGj,True
xWMRJ,xWMRJ,True
DxkKfgzbt,DxkKfggbt,False
gdbJA,gdbJA,True
TfHSSq,TfHSSq,True
duXhkAPG,duXhkAPG,True
yzNYIaa,yzNIIaa,False
AjRjgTc,AjRjgTc,True
aVOMXq,aVOMXq,True
iUsAyOSh,iUsAyOSh,True
fwAhtYu,fwAhtYu,True
gDdrFjXP,gDdrFjXP,True
APirzGXjH,APirzGXjH,True
cqTTlZKAI,cqTTTZKAI,False
pBpxKCGHd,pBoxKCGHd,False
reolV,reolV,True
hgsxV,hgsxV,True
euIBiXOuY,eulBiXDuY,False
zSVdvmvK,zSVdvmvK,True
zCXlxIMX,zCXlxlMX,False
RvyZu,RvyZu,True
CYzuuRb,CYzuuRb,True
lVJevdlTA,lVUJvdITA,False
fbBuQX,fbBuQX,True
eCbKKKGpf,eCbKKKGpf,True
IgzKmF,lgzKmF,False
rmgFUDC,rmgFUDC,True
GenjgA,GenjgA,True
tnwVekc,tnwVekc,True
WYCYcTI,WYCYcTl,False
lQPOYyQO,IQPOYyQO,False
jibOBX,jibOBX,True
hGTfdnqe,hGTfdnqe,True
hIboIZHRq,hIbolZHRq,False
zrAmgfOh,zrAmgfOh,True
JqDoo,JqDoo,True
SzdmC,SzdmC,True
EHvDQ,EHvDQ,True
YDbhjUl,YDbhjUI,False
TyCjBmX,TyCjBmX,True
PHMKttp,PHMKttp,True
vgHKr,vgHKr,True
OVqtNqXhH,OVqtNqXhH,True
ONwFsJbpZ,ONwFsJbpZ,True
nAnmvqW,nAnmvqW,True
jSPrlgNvP,jSPrlgNvP,True
ANYcxT,ANYcxT,True
Gzdkzsj,Gzdkzsj,True
zsWBTNDC,zsWBTNDC,True
jaTYIz,jaTYlz,False
NNrydrUUK,NNrydrUUK,True
FYJDiu,FYJDiu,True
QaUiz,QaUiz,True
RNADVuwUA,RNADVuwUA,True
GTbmQtuxp,GTbmQtuxp,True
urukwPeh,urukwPeh,True
PubdxPS,PubdxPS,True
PGOHC,PGOHC,True
FVVmd,FVVmd,True
GQmRfsaCb,GQmRfsaCb,True
vXQVx,vXQVx,True
LFnCRW,LFnCRW,True
XhdVkL,XhdVkL,True
fVTYuWM,fVTYuWM,True
jeEFr,jeEFr,True
BlyZNVHi,BIyZNVHi,False
mWPLzgcb,mWPLzgcb,True
kEGuGJ,kEGuGJ,True
ykIkP,ykIkP,True
jkbhpej,jkbhpej,True
rYeziVC,rYeziVC,True
UJPiUEGbA,UUPiUEGbA,False
YaaOP,YaaOP,True
kfSXyjbDT,kfSXyjbDT,True
rzbqGb,rzbqGb,True
TUYUA,TUYUA,True
PLMpeI,PLMpel,False
EFArauDjK,EFArauDjK,True
yFcSoYha,yFcSoYha,True
JDhlGjvO,JDhIGjvO,False
eppMsgHEO,eppMsgHEO,True
GcGjoXiHt,GcSjpXiHt,False
WnMWRy,WnMWRy,True
NWZdV,NWZdV,True
MqxUHd,MqxUHd,True
HOjqRBg,HOjqRBg,True
zBfaq,zBfaq,True
TbFIBq,TbFlBq,False
SsNwFvbZ,SsNwFvbZ,True
CGYqP,CGYqP,True
gLPFdF,gLPFdF,True
qwdzV,qwdzV,True
ylSKnR,yISKnR,False
fDUljZXdd,fDUjjZXdd,False
JwdURV,JwdURV,True
VSGYE,VSGYE,True
gdkyLsy,gdkyLsy,True
DVBobn,DVBobn,True
xackr,xackr,True
ophNR,ophNR,True
sAoJLv,sAoJLv,True
RmuoI,Rmuol,False
rhgFtNJq,rhgFtNJq,True
WuCycd,WuCycd,True
nguWPHPLQ,nguWPHPZQ,False
QirNUd,QirNUd,True
xxSHio,xxSHio,True
TqGAIyEk,TqGAyyEk,False
sFqealTr,sFqeaITr,False
ePHoZu,ePHoZu,True
ARQdwJOt,ARQdwJOt,True
UkiRjrYoE,UkiRjrYoE,True
QVRsUGEB,QVRsUGEB,True
pfneOa,pfneOa,True
auaTz,auaTz,True
OstCnScn,OstOnScn,False
YespjUIgf,YespjUigf,False
jKrHa,jKrHa,True
KJIyUQ,KJlyUQ,False
oxcpv,oxcpv,True
QqvNJsbky,QqvNJsbky,True
hAqtJN,hAqtJN,True
YViGBvb,YViGBvb,True
cIbsShI,clbsShI,False
gufjC,gufjC,True
kqSRfSZ,kqSRfSZ,True
fjVNELkep,fjjVELkep,False
idkaMIK,idkaMlK,False
ZBrmGOfAK,ZBmmGOfAK,False
aWkdjNUM,aWkdjNUM,True
HwKbM,HwKbM,True
hlyet,hlyet,True
qWjVfuC,qWjVfuC,True
qvGXWnKOZ,qyGXWnKOZ,False
qONsUkbl,qONsUkbI,False
aMKprOyWI,aMKprOyWI,True
wzGDa,wzGDa,True
IWmGSpPK,lWmGSpPK,False
lXNzD,lXNzD,True
DrvQyyE,DrvQyyE,True
NHdNtYVY,NHdNtYVY,True
clalTxuU,clalTxuU,True
OakXz,OakXz,True
iRSAjX,iRSAjX,True
tjwFbxM,tjwFbxM,True
SBPSpVr,SBPSpVr,True
PcExqLl,PcExqUl,False
TluzH,TIuzH,False
LLDdk,LLDdk,True
zsYVnvZq,zsYVnvZq,True
bnLWqV,bnLWqV,True
QgKzFHn,QgKzFHn,True
tssZckjS,tssZckjS,True
EjCncx,EjCncx,True
OHuMOGbcv,OHuMOGbcv,True
wiTsMCk,wiTsMCk,True
TEdHEhrZ,TEdHEhrZ,True
hiqst,hiqst,True
GTQLsP,GTQLsP,True
qILko,qlLko,False
wFtAClqC,wFtAClqC,True
LfGHfeG,LfGHfeG,True
oqwNf,oqwNf,True
FjUYnAI,FjUYnAl,False
SvWlcga,SvWlcga,True
TCbsxPQ,TCbsxPQ,True
pTFzCL,pTFzCL,True
gTYxH,gTYxH,True
yOjrrjtI,yOjrrfll,False
bbiIZ,bbiiZ,False
OnmQmDA,OnmQmDA,True
LlrTofJFS,LlrTofJFS,True
eTCdXcMnx,eTCdXcMnx,True
cRFFT,cRFFT,True
pgonysW,pgonysW,True
HmUMYiaRX,HmUMiiaRX,False
ZbwIGQmEz,ZbwIGQmEz,True
dxMFc,dxMFc,True
AegzYLvE,AegzYLvE,True
rjFYNsB,rjFYNsB,True
VOOYBLSj,VOOYdLSj,False
qyHNWdR,qyHNWdR,True
hmWJNA,hmWJNA,True
DNBHhLZ,DNBHhLZ,True
PlTQGZoTq,PITQGZoTq,False
EofZkaZvS,EofZkaZvS,True
DRSbqX,DRSbqX,True
ScjaX,ScjaX,True
VqHhj,VqHhj,True
CEaqS,CEqqS,False
PHcskMLe,PHcskMLe,True
taejs,taejs,True
gUVlokXQ,gUVIokXQ,False
HlvzlVel,HlvzVVel,False
wxUcufXy,wxUcufXy,True
TvxyhWcd,TvxyhWcd,True
XENNr,XENNr,True
uWqhC,uWqhC,True
QnMlAcRQ,QnMlAcRQ,True
TyVgWIvKq,TyVgWlvKq,False
HNbraApX,HNoraApX,False
LlBijgzxk,LiBijgzxk,False
QginCeFym,QginCeFym,True
AMiggonob,AMiggonob,True
wbRMdeCe,wbRMdeCe,True
mmtCDJlI,mmtCCJll,False
nMTkxTkS,nMTkxTkS,True
fiihO,fiihO,True
jDeYe,jDeYe,True
OjotXMDKS,OjptXMDKS,False
WpiYt,WpiYt,True
KNKtnYKD,KNKKnYKD,False
CAyOl,CAyOI,False
nmlktgWH,nmlktgWH,True
kdVaRkwwq,kdVaRkwwq,True
KWAkseSz,KWAkesSz,False
DxpuW,DxpuW,True
XZjjDRkC,XZjjDRkC,True
HSELdEY,HSELdEY,True
lgOMjPfS,lgOMjPfS,True
whAoGW,whAoGW,True
lhJuY,lhJuY,True
ixEqM,ixEqM,True
TQfVj,TQfVj,True
bQhQLRba,bQhQLRba,True
FihXTpz,FihXTpz,True
FDsrww,FDsrww,True
nRNipP,nRNipP,True
tJxUEmSEe,tJxUEmSEe,True
rsFDXY,rsFDXY,True
PeWcSY,PeWcSY,True
PlvlQgwH,PlvlQgwH,True
GkqoSx,GkqoSx,True
MsCbRIPs,MsCbRlPs,False
ylEuVpW,ylEuVpW,True
SjrqYS,SjrqYS,True
RXWugPcY,RXWugPcY,True
BzzXHEMgf,BzzXHEMgf,True
LFbQMc,LFbQMc,True
XfuTuJpF,XfuvDJpF,False
TPXaxSaaV,TPXaxSaaV,True
nYHVfbEvf,nYHVfbEvf,True
RRHHVdY,RRHHVdY,True
yltzCgOA,yltzCgOA,True
uIFGUqw,uiFGUqw,False
UCZHo,UCZHo,True
jvSDQcT,jySDQcT,False
WocqOxQP,WcqqOxQP,False
qDxHWztNr,qDxHWzrNr,False
VvoSU,VvoSU,True
deZWzbQ,deZWzbQ,True
Whvlvsym,WhvIvsym,False
eKoPYoOCi,eKoPYoOOi,False
OPuecj,OPuecj,True
znhfg,znhfg,True
xSkom,xSkom,True
cHPwAWixM,cHPwAWixM,True
lKUJsJUG,IKUUsUUG,False
srpMT,srpMT,True
kyeVlVICX,kyeVVIlCX,False
hdvrnBq,hdvvnBq,False
BfRBBa,BfRBBa,True
OEMIHqagD,OEMIMqggD,False
RLxBJgT,RLxBJgT,True
YoNcNlIUV,YoNcNNlUV,False
JGrniHq,JGnniHq,False
qoKqG,qoKqG,True
jxXRLxON,jxXKZxON,False
hhBFTrJpC,hhSTTrJpC,False
RWAhwPd,RWAhwPd,True
oJrRTBmgW,oJrRTBmgW,True
jWRqpvl,jWRqovl,False
QBfUlQHye,QBfUIQHye,False
pJntUpuR,pJntUpuR,True
vymgna,vymgna,True
PwjiL,PwjjL,False
COSYB,COSYB,True
eseijxpw,esejjxpw,False
CroIax,Crolax,False
ZkFSFye,ZkFSFye,True
INshlay,INshIay,False
IOntFWFZ,lOntFWFZ,False
GfdiAoG,GfdiAoG,True
nnSGFkW,nnSGFkW,True
IRVfFthP,lRVYFhhP,False
OQGsG,OQGsG,True
EsKLgvTi,EsKLgvTi,True
WkGgvlZ,WkGgvIZ,False
lGiWnexq,lGiWnexq,True
KxRoXruM,KxRoXruM,True
VxPjSmiUv,VxPjSmiUv,True
GZcPyQbCo,GZcPyQbCo,True
QNjydL,QNjydL,True
ekdPZQFD,ekdPZQFD,True
WEQJDrJ,WEQUDrJ,False
SMhQBfF,SMhQBfF,True
cwcIZ,cwcIZ,True
AdUVq,AdUVq,True
BISlkE,BISIkE,False
ENHmlUPaY,ENHmUUPaY,False
NzuVeNBU,NzuVeNBU,True
kTXxuHY,kTXxuHY,True
aworbO,aworbO,True
rmDIICVVV,rmDIICVVV,True
nhVkspqE,nhVksqqE,False
nCeIpXTuX,nCeIpXTuX,True
BYBDwayxf,BYBDwayxf,True
KwvxWs,KwvxWs,True
hcmiemsiL,hcmiemsiL,True
WEcCM,WEcCM,True
eLLEMZod,eLLEMZod,True
vciiZ,vciiZ,True
VlfeA,VIfeA,False
EVHJZ,EVHJZ,True
HHCTNSI,HHCTNSI,True
qohDJ,qohDJ,True
CpFWy,CpFWy,True
QLWUCiCkj,QLWUClJkj,False
eDUtJ,eDUtJ,True
JNgzpN,JNgzpN,True
QzFuj,QzFuj,True
kAoNQm,kAoNQm,True
GNMfEK,GNMfEK,True
ixKXh,ixKXh,True
MxQkcr,MxQkcr,True
jwfJPR,jwfJPR,True
ffjilJ,ffjilJ,True
kDFQOfAs,kDFQOfAs,True
tsWpYOyc,tsWpYOyc,True
BmmFaN,BmmFaN,True
eZjwjpKm,eZjwjpKm,True
KBdFI,KBdFl,False
PLOlWATL,PLOIWATL,False
OHnEKbBF,OHnEKbBF,True
gLejFNok,gLejFNok,True
YWtHilT,YWtHiiT,False
JBNsE,JBNsE,True
YcsrRgAu,YcsrRgAu,True
pmlmG,pmImG,False
yTPtiN,yTPtiN,True
xMXaYCOpH,xMXaYOOpH,False
ChMgRBfmM,ChMgRBfmM,True
cUUDnCBl,cUUDnCBl,True
rEmucnCz,rEmuonCz,False
ddCrOTs,ddCrOTs,True
FCTowUzij,FCTowUzjj,False
gsLQmmOs,gsLQmmOs,True
taVgNV,taVgNV,True
zjrmXfb,zjjmXfb,False
ceNZFT,ceNZFT,True
ruSef,ruSef,True
wRcIdWtLV,wRcIdWtLV,True
YkFBHKW,YkFBHHW,False
GzeOdGaU,GzeOdGaU,True
bQbiCnSK,bQbiCnSK,True
cEltiZUdt,cElllZUdt,False
OJnxWiYio,OJnxWiiio,False
YhaBmtXAm,YhaBmtXAm,True
OcQfBE,OcQfBE,True
TUDqPZ,TUDqPZ,True
ogNaqt,ogNaqt,True
FDvwYDUM,FDvwYDUM,True
lKSxLK,lKSxLK,True
dgUtWNS,dgUtWNS,True
RZFsvLX,RZFsvLX,True
vrAsniG,vrAsniG,True
SWLryw,SWLryw,True
XTcgovZu,XTcgovZu,True
plrZsdoFI,pIrZsdoFI,False
jYdUFytHp,jYdUFytHp,True
foLjA,foLjA,True
WFeSuqpJ,WFeSuqpJ,True
OOkrcv,OOkrcv,True
jpunex,jpunex,True
oWysdnr,oWysdnr,True
csDyMh,csDyMh,True
XXVTzvL,XXVTzvL,True
xHDiQ,xHDiQ,True
PkAFvCOC,PkAFvCOC,True
UDucu,UDucu,True
MbhkN,MbhkN,True
PBHxgtllc,PBHxgtllc,True
TfNlvrw,TfNIvrw,False
zRHGPCGB,zRHGPGGB,False
jgHBe,jgHBe,True
WBgrcqOs,WBgrqqOs,False
qjIoY,qjIoY,True
yTsNwBowa,yTsNwBawa,False
QMFxD,QMFxD,True
ICSkbCP,lCSkbCP,False
ICTDsIE,ICTDsIE,True
zUbYLhCy,zUbYLhCy,True
fKunUZU,fKunUZU,True
SknfQFV,SknfQFV,True
qfpCcXrLH,qjpCcXrLH,False
Ocfcsmh,Ocfccmh,False
VwZDwte,VwZDwte,True
KlnKeOQ,KlnKeOQ,True
BKeaB,BKeaB,True
ZkkdpkZba,ZkkdpkZba,True
kJKDXFo,kJKDXFo,True
KjAQslj,KjAQslj,True
dQUMQUWuu,dQUMQUWuu,True
QlvjqQMm,QivjqQMm,False
VJrFfVRej,VJvFfVRej,False
noozEEkHU,noozEEkHU,True
FrpwyFK,FrpwyFK,True
yixTXGI,yjxTXGl,False
DxMUeJp,DxMUeJp,True
QdXoCX,QdXoCX,True
XtBVnD,XtBVnD,True
epvsd,epvsd,True
hfgiyXbYY,hfgyyXbYY,False
EtkaAPNV,EtkaAPNV,True
aALxOkQhr,aAkxOkQhr,False
MirydPz,MirydPz,True
ruJVTY,ruJVTY,True
piGAHrSr,pjGAHrSr,False
oEUGx,oEUGx,True
NxrFWTet,NxrFWTet,True
iINEFkVh,iINEFkVh,True
oxGfR,oxGfR,True
Hcfcd,Hcfcd,True
XHmOxsIp,XHmOxslp,False
oNfuxlH,oNfuxlH,True
NMRRKqmgm,WMRKQqmgm,False
zkjncD,zkjncD,True
CQvsCmw,CQvsCmw,True
AkaqxN,AkaqxN,True
yOOsFjNb,yOOsFjNb,True
bwHtjD,bwHtjD,True
uORHuFUtC,uORHuFUYC,False
myPcWalfG,myPcWaffG,False
DXBuD,DXBuD,True
dTgjxub,dTgjxub,True
xHSJEkFz,xHSJEkFz,True
rNkMHUFB,rNkMHUFB,True
joDOvqN,jpDOvqN,False
fKuhmfpfP,fKuhmfpfP,True
EnNHaR,EnNHaR,True
MBiZFboRE,MBiZFboRE,True
ZYgyNl,ZYgyNl,True
eTXVUai,eTXVUai,True
DIjBY,DjjBY,False
WNVsad,WNVsad,True
oCqMcqum,oCqMqqum,False
ebUzja,ebUzja,True
JaOFDNjOX,JaOFONjOX,False
YQEEBPSC,YQEEBPSC,True
PRvTY,PRvTY,True
dRSdS,dRSdS,True
QXBmGd,QXBmGd,True
RRsKCqi,RRsKCqi,True
TUKczMc,TUKczMc,True
tYkXzfg,tYkXzfg,True
zLwzcaf,zLwzcaf,True
VKwumNanF,VKwumNaaF,False
XTZiYtzL,XTZiYtzL,True
UbUEN,UbUEN,True
enZvWbkdc,enZvWbkdc,True
FIyXCyvTq,FjyXCyvTq,False
LuzyG,LuzyG,True
OmSma,OmSma,True
EqEsObnA,EqEsObnA,True
LfKVgxO,LfKVgxO,True
swtceuGb,swtseuGb,False
objTxgn,objTxgn,True
pZbXLoqNi,pZbXLoqNi,True
wcTnh,wcTnh,True
DFQAjAnf,DFQAjAnf,True
kcEUCs,kcEUCs,True
yNUHohLoq,yNUHohLnq,False
EgZRhcvc,EgZRhcvc,True
MUaajh,MUaajh,True
zuJJOA,zuJJOA,True
MRLrSqlrI,MRLrSqrrI,False
uUHRfaX,uUHRfaX,True
tGCumFP,tGCumfP,False
jxmvQn,jxmvQn,True
xRInhWyJy,xRlnhWyJy,False
xFXaw,xFXaw,True
PoXPbI,PoXPbl,False
drWoT,drWoT,True
wIKLBhHc,wIKLBhHc,True
lsEam,lsEam,True
LPdUMT,LPdUMT,True
GxJYWD,GxJYWD,True
PoFVtCt,PoFVtCt,True
cJyiWoU,cJyiWoU,True
UoYhQl,UoYhQI,False
rNEDuYv,rNEDuYv,True
EovEBXJbG,EovEGXJbG,False
TGTzpV,TGTzpV,True
GIVgpq,GlVgpq,False
EyDvi,EyDvi,True
YdFWsaP,YdFWsaP,True
