actual,predicted,correct
olvmNcRH,olmmNcRH,False
yzbsCQEFO,yzssCCEFC,False
TDbtWRP,TDbNWRP,False
GsFtNZXdQ,OsFYZZXqQ,False
DjeKnhD,DjsKhhD,False
wHvpRpTce,wHHpBQDee,False
MbGMl,MbGMl,True
DMJuI,DMJuI,True
oWLbpQQT,oWbbpQQT,False
neleda,neeeda,False
PLBiBqth,PIBBBqqh,False
wndiDGEZ,wmcDDZZE,False
DBztJ,DBzJJ,False
PhlaEMH,PhhaEMH,False
iyvzzNCN,tyrzzWCN,False
iEYJH,ZFVfK,False
swkrV,awkwV,False
BpBBEmvUf,BpBEBmmVf,False
hLFCw,hLFCw,True
UUkYTaZD,Uiiiiiaa,False
sGjTgA,sCjFgA,False
oPJeuF,oPJuaF,False
CVyaYxS,CVyrYxS,False
HoLibdBxD,hbbbaaaDD,False
resLz,resLz,True
IxuPxA,lxxPxA,False
fxJFMMnkv,fxVFMMmkv,False
InonBD,lonnBD,False
QzHpwnhU,QzHhwhhU,False
pUNPHPNpv,pUMPPPNpy,False
XNqQJNZU,XMqQNNZU,False
gRkkRd,gRkkRd,True
vlbuj,VJuuj,False
xogwXp,xqywKp,False
etINqjQ,gWlIgQQ,False
zKltES,zXiSSS,False
FWKfnkEM,FNKhnkEM,False
AmsHZASI,AmmAAASS,False
TByWrYgP,TfgHHHgg,False
KIabQOQ,KbbbQQQ,False
BIlmMWsc,BlmmWWsc,False
rTDdZY,rTDdZY,True
JPuQusAe,JPPQQAAe,False
WJVGOfp,WUVOOfp,False
tMZVrHfqL,tMZVrnfqL,False
yRpGixyk,yycSSjyy,False
ilNZnkH,iNXZmHH,False
ayLQAP,oyLGAP,False
mzemrDOh,mzzmmOOO,False
WlUyX,WUUyX,False
RYIMBak,RlliBBk,False
odBdmVsm,odBdrWmm,False
lWbsHAFO,lNbeAAPO,False
DKNMG,DKNMG,True
zDxkDM,uDvuOW,False
cfCJi,cfIII,False
PZikSK,PZkkSK,False
zkjEkgwIG,zkkEkgwlG,False
OwboQcXT,OvaaGGaJ,False
YUpIMwDP,YUplMwDP,False
JzramB,JrsmnB,False
DFpeuck,DFpooak,False
IXkDdboJ,XxOOAool,False
mleFI,mmeFl,False
igbQtgdF,iggQggdF,False
FUmzZwaS,FUmmZwaS,False
UpWrDa,UpWlDa,False
JOnMq,JOnMq,True
thZOdYL,thDDcYL,False
LUZuugXqY,LLEuugggY,False
wHutojB,whutdpB,False
TqJFjajIE,TqTTjqjIE,False
nnQMLwyj,nnOMMwyj,False
xLVbONJy,xUNbONyy,False
QPhgGog,QPngGgg,False
uQSavsfI,uOGeeaff,False
SHeUwUPl,SfeuwUUP,False
fJBvvCb,fEPvvCb,False
AsDJtEbh,AsDDIEbh,False
UifcG,UffcG,False
SnUJVD,ShUUVD,False
YCkqwza,YGAxwaa,False
ofPaU,yvPbU,False
GbHbQYQQe,OhbYOOOQe,False
RMEVA,RMFMA,False
uvGfBvxHo,uvGftxvHo,False
rYqyupP,rYoquuP,False
THPHiaDI,TRRHJaOI,False
zfYOW,zTfOW,False
YKDQdol,YiQQocc,False
GTxSzIjs,GTxZsfss,False
Ijhbvs,jjhNss,False
aicNKU,oIoNKU,False
bFvvmvF,bFvvvvF,False
HIbeRXCL,HlbePXCL,False
akkGH,okkGH,False
hFcwv,hFaxv,False
sMQLOA,aNOCCx,False
pdZzk,ccZzk,False
ZJNdW,ZLMdW,False
AKDteTcH,AKEIeeeh,False
gJlqB,gJJgB,False
ZuNPmEGZp,ZxVPmEEEp,False
WNOwXX,IXOvwX,False
AljxHfIkd,AjjxHHikc,False
GynWbsXMt,Gynhhhhrw,False
yplbUoL,yddUUaz,False
mDNaO,mDWaO,False
vPSvi,vPSvI,False
vdJvGCAB,vdvvGGAB,False
GYVAXytI,BKKxKyyi,False
ogbCdaUN,ogdGdcLN,False
VyHdqfTT,VyNdqZTT,False
zCZoN,zCZoN,True
WzZVxvavN,NzZTwvvvN,False
lomglgadR,immgjjddB,False
afsazOk,cfzzzOk,False
xxWilA,xxVllA,False
jyLwzISdo,jyuJJBBqq,False
CnzeKIDzA,CnnnXXDsA,False
rvoVfurb,rccVVvcr,False
gmgshvG,gmggsvG,False
cRxsFo,cRvsSo,False
DhUiPWX,DhJiPWX,False
sAVODD,sAIDDD,False
HNsDqZv,HNsDqZZ,False
lpDfv,ipORv,False
DXOCawkGo,DXCCcwwSo,False
aEUlg,zCUUg,False
BfQfhFeI,BQQhFFel,False
otWrxVqoh,oVVvvXqbh,False
nLAssH,nLAsHH,False
EgDLy,EgDJy,False
oMfQGZGOG,oWwEZZGGG,False
ziiJxwP,zIIkxPP,False
cXDHHWnkI,cXDHHHmMM,False
agpwSmnNQ,ogwwSmmNQ,False
qxPBBuk,prPBElx,False
yxMQJALIV,yxMQQLLiV,False
jnblQvj,jhhJQyy,False
qjpVeH,gjglnn,False
BDCTj,BDTTj,False
JrMtBIr,JvMlBlr,False
zCUskW,zDUuow,False
MmfWgRFCQ,MmWWgRRRQ,False
cGmQQxJ,zPDDDQx,False
nsaSJz,nspSLz,False
rwnwEFRPS,rwwwEFPPS,False
svqDh,oogDh,False
qiLxPaze,qLxxPxss,False
IAMhAPc,lAAhAPc,False
HaTdAq,HaTdAq,True
PztFIKbT,PzIFHKbT,False
hweZbX,hweZbX,True
MKfDN,MMTfK,False
hMuFZRwcD,hMuYFRwaD,False
HcSXfRj,tcSSXRj,False
dIjnSz,djhSzz,False
mHeVzQlfN,mHeVzOfNN,False
QZIhBg,CZJhSg,False
vrOTyFUTX,vvTyyTTTX,False
FCZhcPK,FZZhcPK,False
fwjsw,iijws,False
CgNsj,CgWsj,False
RWbipT,RWbbpT,False
WBelagfk,WBeeggIk,False
iDBIRo,iDBRoo,False
eBwivAMpm,aGrwwAApm,False
wuwlo,wuwJo,False
nTonFJC,nTnnSCC,False
MctkB,VctkB,False
ExsqqzVQ,ExqqqobC,False
HIftthMS,PVVtxXSS,False
MSSiGzVZ,MSSSSVVZ,False
zvugZP,zvugZP,True
dfgaSNml,dfggSNmm,False
AWDHPDnW,ANDDPDhW,False
hvFAsAg,hvFAAAg,False
iigyxEe,itgyxEe,False
gopFg,gopFg,True
WczGFm,VueGGm,False
fjQSTnO,fjQSTnO,True
OmioPrxn,Onnmmmmn,False
CuHjtcSI,OuuipSSS,False
VBmnlPwLQ,NBmmPPwwQ,False
IyhjDK,iyhjQX,False
sghmd,sgmmd,False
cjpVqlbqb,cjjNqqqbb,False
LeVkQKTpS,UeVWQTTpS,False
gdhNGX,gdHWWX,False
GhcakyG,Ghcdkyy,False
CgtuoKIAe,CguuuKAse,False
vnlvwEY,vnivwEY,False
WCuwt,WCCxF,False
aVoBb,aWoBb,False
lkLBiuXPh,IAABiXXPh,False
WCIJgSXob,NCCUqSXoo,False
tqQGOvM,tqQGGvM,False
yPpUxtV,yPpUkvV,False
JbYuzfKF,JbtzztKF,False
KaWcSUhIz,KoWoSJhzz,False
hIBnu,HFEru,False
bJLtkoF,SUuuuFF,False
OBnPefF,OPnRFFF,False
UCquwLzu,UCquwuLz,False
DdfSk,DdfSk,True
UdodMsEl,UbbdWsEi,False
rwrjUmit,mwjjmmii,False
WheilrTn,WhekTThn,False
FGZoOzu,FEEaGcc,False
ExVft,OIVKI,False
eoOnD,eoOnD,True
qxtwE,qxkvE,False
SPruUlc,SPruUIc,False
FfPfT,FFfff,False
kIgMAajP,kjgMAgjP,False
wAruY,wAuuY,False
eQtkVdkzr,cDDWWXzer,False
ixMXSK,ixkXSK,False
RuVAEg,RuMAEg,False
qNosyX,qNosyX,True
gWXmQMkVD,gWNmQMMND,False
iaTYkahy,ofTXXhyy,False
JIlXeDgjB,JMJGggSSE,False
JqqpORo,JqqqORo,False
bCszjkCz,dEzsjjEz,False
ukgEuJc,ukgELcc,False
bMtDKE,bMMDKE,False
JvrAiu,JvAAuu,False
lAHsecL,lAAsecL,False
ZEUWr,ZEUWr,True
ZABnLB,ZlRnIB,False
jAykB,jjykk,False
kdBiEQ,xbBEQQ,False
fvBEbxHKy,frBEaxKKy,False
frkxGL,VwxxZL,False
LtFzKG,LiFkkG,False
UDrrV,UUUuO,False
SUVKjpe,SuUUjps,False
Ywzlydix,Vebbpekx,False
cAsyzv,cAsyzv,True
GmmcYhhzn,GmmmmVmmm,False
uzMDWX,uzLDWK,False
sILgbdtyf,sUgggdyff,False
qsjNErOAE,qsWjBBBCZ,False
QlkJRq,QlklRq,False
NYHCaO,VYHOcO,False
bPjKFJRwb,bFjKFFRwb,False
JPBSYGw,JPBBYGw,False
xjfsHDjzu,xjrsHQLuu,False
iqkWGQOpI,tgNNSSSpd,False
HlugiW,KogIKK,False
XqQPIkHZ,XsOPViiZ,False
DZodLdhX,DCddddhK,False
zoxAy,zoxAy,True
RPlzXg,RPXXgg,False
VoPGDIx,VsPOQOk,False
jFWIe,jFWJe,False
FxSBTJqk,FxBBTqqk,False
xjJxi,xjkxf,False
gSdsBnpCx,gBssBhcCx,False
HNXkq,HVkkq,False
lTajUzA,lTiqLLA,False
DbmyUuV,DbmyUdd,False
JMVLg,JMVLg,True
JoSOsgtE,JoSOsgIE,False
bxDBH,bxDBH,True
TiNPAXz,TVVPXXz,False
qtuNgSHhD,quuggShhD,False
dmekpR,obobbq,False
LeHfW,LoHWK,False
MCdxjoDvK,MOkkjOOvK,False
MpDKGVcX,VpDKOOcX,False
wvygOmN,wvyyCmN,False
cxZiLuqu,oxZXZuqu,False
NULWVe,MUUWWs,False
tuwzX,tuwzX,True
keuTlks,kavTYss,False
ieySzuowp,fssSvapwp,False
TKAHr,TKAHr,True
rxCsjT,rzCsjT,False
VhLuBw,VhuuBw,False
XRJsZmp,XRJsZmp,True
AzURFNXjA,AuDRRXXXA,False
GOyEwU,GCyEwU,False
JkteBDGQ,JlseBGQQ,False
GidRPvTE,CGoPPFEE,False
sDpbP,sDpbP,True
zOgOvKpPZ,zDOONPPPZ,False
MtmDmfR,MimOmfR,False
YbGNJ,FcCWW,False
mqjGv,majCv,False
WTBtDi,VFEZOD,False
iXKNIq,lNNNIg,False
uunoYf,uumoYf,False
fsYKHtno,foWWWTmm,False
gaLoXsmQH,guccXAmQH,False
KBPQQN,KBPQQN,True
MFWTBtf,MWWFBdf,False
StjIklHa,Sjjiiida,False
BFxYjt,BPxXjj,False
YXCxDwlU,VUGCCCvU,False
Ydmlqcy,Ydmtqqy,False
QVtecT,DViaaf,False
SmGJAODc,SmGJJJOO,False
mDpwtYnY,mDowYYmY,False
sYiQwXddV,sffQxXddV,False
NHkulCZGz,NHkLGZGzz,False
aCLwG,aZLxQ,False
jVsvnjH,jVsvmjH,False
QPSUDde,QPSZUOe,False
mVpVsiQOK,mVpVsQQQK,False
MEaLLcWEs,MBzLLEWEs,False
crlXWMs,crYWWMs,False
pJqXC,papkD,False
vzzZfH,vzzYYY,False
yTbnR,yTonR,False
zqjTRGrD,zzjTRGrD,False
cHxzdT,cixxrF,False
Urose,Uroee,False
SwHgSMtqK,SwMpSMMqK,False
oyIUsRlnd,oyUssPhbd,False
wcXmOOAEg,wsmmOOQEg,False
WPZqiNzYY,WFTqVVVYY,False
nMgUz,mWqgL,False
ULfrlpM,UUtiipM,False
gCMWT,gBNNi,False
yUObaIR,yUOOakR,False
ooIraDAfu,ooofDBkuu,False
oqjPmTGoC,cpPPmIccC,False
zwXbwvxw,zxkbwwww,False
yRmMj,yRmMj,True
jzhBr,jrbBr,False
uckNm,uoMWm,False
xuJHVcygU,woUUMMyyu,False
GqMZU,GqjSS,False
HumSI,htonR,False
AVPSwuXXQ,AVPPxzXKQ,False
DbSHN,DbSHN,True
WznnmblR,MmmmmnRR,False
UcAavB,UdouoB,False
oHKmMhIq,dHHKmhhq,False
GygOX,GygOX,True
sDMWXgc,aDNNKjg,False
daNsbQUX,ddNbbQQX,False
AKjIe,AKVfe,False
EqthPTRZ,ZxAhPPFZ,False
UNjQjarOx,UNjQjOOOx,False
mDVGIoH,mDVUdoH,False
WmfpTU,ilnqqT,False
LkDBgmB,LkDBgmB,True
kSOXa,kSOXa,True
alhUsx,olUssx,False
ybvhQRhta,ythhPPWds,False
qeqDdifJq,qqqDdtiqq,False
WUgwhMos,WLgwMhos,False
rMIXtp,tMMWpp,False
iHZCq,iHLCq,False
wPgkdCl,wPgkdCC,False
jLVtGGao,jUYYGGao,False
uGpek,uGpek,True
nkdkcFeQ,nAkAdFeQ,False
VGyBps,VGyBos,False
FaWNzOc,FcWWcOc,False
UVyFpeS,UFFFppS,False
IuTbKT,UDBiTT,False
ndDJlfLe,nbDlIIIe,False
zcdSTCaRs,zdcSTDcRs,False
HqtYg,HqtYg,True
HkosTJ,HkaaTJ,False
cCYrCRqcP,cCfrCPqcP,False
XGvpRbeS,XGuGFFeZ,False
zStdrIo,zStdtoo,False
dOJqXfj,dCUqAjj,False
GnUzB,GnLLB,False
xteYjK,xleYjK,False
NhfnpGc,XAhnpCc,False
GCIaDWe,GOLzOWe,False
xJXMiBji,xXXlBBjI,False
cEOHht,cDOHht,False
iLmgpO,iLmggO,False
ZucnGhJ,ZzuoGoJ,False
PnMxRgw,FmNxRgw,False
FIfGnO,FfFruO,False
LVwCNGAqY,LwwGGGAaY,False
IOEidwTfo,iDBbxwTOo,False
vgIJIBNA,vglllNAA,False
ogykkS,cqyvvE,False
QeIHXvlQ,QeHKKVQQ,False
GeopA,CecpA,False
dlIIljyk,dIljjykk,False
SKUEmM,EJLZEr,False
dhrdcQuGd,drrbdQuGd,False
GDcyO,GDcyO,True
ZedsFSLi,ZaeddSZI,False
hhZsxNCQ,hhZsxWQQ,False
KDNhqzI,KOMhqql,False
vSImzLDNN,vBmmLDDNN,False
ljntlrjwu,ljniijwuu,False
oMvYoHc,oMvVboc,False
Cezjgw,TTcZgk,False
YvyrN,VcyvK,False
pTmbpVsAO,pTmpppssO,False
CKzlwe,CKzwwe,False
vPGZHJR,vPZZHHR,False
bRgFofU,hFggFni,False
hWSSbbEE,hWSSooEE,False
DFimc,DTmmc,False
yAYFaw,yAYFaw,True
ksNUBRQrn,ksMUUBQmm,False
BmyPKpU,BmyPKpU,True
RoQlm,RoQln,False
wvnREqq,wvnREqq,True
ZdFXYLnr,LdYYZZzr,False
nFMNLAW,nFWKELK,False
xIADvLoa,xiADidaa,False
AvqrHNGtQ,AvyrHAGdQ,False
jFYWGTO,jYWFWTO,False
GfAvSCld,OVvkBBib,False
jPdGMV,jPdGGV,False
rcCjw,rcCyw,False
hzjmCh,hzjjnC,False
VFgYU,VFgYL,False
TimZRHiM,TncOORMM,False
VyrSV,VyvSV,False
QnBvmgBn,QmBmmgBR,False
MSVcwrJ,MSVowrz,False
MRNUoHoTw,MRWUboTTw,False
KFfUxWPoA,KFffvvFOk,False
ktMDElLan,kMMDEELan,False
kcMDnSfQG,MeGGGOOOG,False
BYUZOJoP,BUUZOOoP,False
tbUTYB,tbUTYB,True
oCcIyd,cCzjyd,False
kQMHhabM,kQMHhbbb,False
UvDBilTNb,UvDBITTWb,False
mefieA,meYeeA,False
RYsdXlBEQ,WYzzXBBBQ,False
yLIBKfeZ,yuBBYYeZ,False
pKRwUo,pKRwJc,False
KjPLA,KjPAA,False
feoCDQ,fccCDQ,False
svkpa,avkbq,False
VkLGk,VkkGk,False
RlqBgiY,RlqQgYY,False
SgTYPTMxj,SgTTTTMyj,False
FKFrzEBA,FKFrzEBA,True
FzUVpY,FzUYpY,False
QxpVgBb,QxvYYBb,False
YZAUQ,YfAfQ,False
lHvZKJo,IHwZJJo,False
PIloHPk,PllaPPk,False
izwkwvx,jwkkvvx,False
YWWLLyl,YWWLLyI,False
IdKMfQw,iAAMfQw,False
NKzIdlj,WKzddjj,False
wYpLVu,wYpLVu,True
vojWa,vojWc,False
mOwpc,mOwpc,True
VCTQhRSD,VCCQhRSD,False
jMKjMu,jMMMMu,False
izxabsM,tzxdbbM,False
zeSmnmo,zzZFmmm,False
YWQgyTaJV,YNOgTTooV,False
sVgBLA,sVgBAA,False
aNgqtdgO,zLggAgpD,False
WPVmJ,WPVmJ,True
CwSnhd,CwSnhd,True
BlgIKanz,BjgXXmzz,False
qUcaQ,dUdcQ,False
QaXox,QoXox,False
VIyEWF,VyyKKF,False
UFXfgWp,LFXXgNb,False
pZsuXR,oZauXR,False
AheBaM,AheBaM,True
KxoLBdfN,KxadBBiN,False
PLbFtu,PLbFuu,False
KEgyTBLIX,KEyvYBZLX,False
Uvmks,Uvmks,True
hteNYDaV,hbAAiDaV,False
WukRMk,WukRMk,True
RYwZLKM,FYxxZEM,False
ckVif,ckVff,False
Yilarcwqq,Ytcccwqcc,False
ykniaGb,yxntbGb,False
zpUQE,zplQB,False
cTxVtoyYW,cTvVVoyVW,False
soIiiUun,owwOUwnn,False
JECdV,JEGcV,False
oEfzcMn,oEfzcMn,True
aJFPlw,oUPPww,False
TUZNsiN,TUDXzzN,False
qICwvgD,qCOwggD,False
rFRVpv,rFVHpv,False
QJLnkYuaM,ZLuuYYnmM,False
kcyMB,koyMB,False
JvqQHA,uvQQHA,False
bknVmt,bkmVmt,False
qVMogjZqy,qMMqqqZZy,False
jqpOo,jppOo,False
pGoLJ,pGaLJ,False
ZJiam,ZJJan,False
lElIV,IEIVV,False
staZATE,xKcEXRF,False
HXuhDCjh,HXhhDDjh,False
iBqgcidL,BcgcddLL,False
CqsOnT,CqsDnT,False
SbbeYnG,SbhbYnG,False
cRaPmzZLj,cPPmmzZLj,False
GBKzeW,GBKzeW,True
JrlEppek,JnFpppkk,False
DPwqMatK,DPwqqccX,False
zfWdo,zfWdo,True
tEuAlqW,tEuAAqW,False
wTaHZfXk,wFrEEZXk,False
INHujXJ,IHHujXJ,False
oLZYoJrA,cLZZtcKK,False
GYyzwww,CYyzzww,False
XFRLW,XFFUM,False
Grccj,Grccj,True
UGctUiiMQ,UDcttttMQ,False
BUyhShia,BUyhhhia,False
AxsXKgIs,AxsXXsss,False
vLxvnO,JJxwnC,False
tsZngXmB,tsZmgXmB,False
kmNEbZbme,kmmEEEmme,False
udPOSItCm,ubPOOQCmr,False
qSsoKHGZ,oGssiNiZ,False
FfMXaKByQ,ffWXKKRyQ,False
tGWio,uBiis,False
Kvqat,Kvqat,True
fGVJbc,fGVJbo,False
DgtIMbf,DgiMbff,False
qPILVVe,qPUUUee,False
OrcTBt,OrcTBl,False
ZrgnyQAp,ZrpyjQAp,False
aHEJbRKsj,aHDEbRssj,False
oMwgZY,oMwqZZ,False
TvdtIePcj,TvuUdPejj,False
IMVMIW,MVVVWW,False
zmCRyRTjB,zmCRyjjjB,False
gELVmVj,gEJVmVj,False
JDfAlvg,JDIINgg,False
gDrkRnuDf,pOwwxxnOf,False
FamRMdcdV,PmnRHbboV,False
vgTEvKpB,ggTTSggB,False
TwoYJEW,TxcXXCJ,False
kwrgoFMF,kwwgdFNF,False
uZEQAxA,LZEQQxA,False
pMrODYBPn,pNuDYYBPn,False
qscbKA,qsbbKA,False
PXAIcbvyx,PMAdbdyyz,False
knPDZOON,knPEDOON,False
YfwDo,YfwDo,True
VQLhrSvXd,VQZirvvKd,False
xysVZO,wyykOO,False
sudyWG,ssdyWC,False
cpZzGGw,cpZuGGw,False
gbFZW,gbFZW,True
JDWfUa,JDWUUa,False
FVEgrjDh,FWEgyDhh,False
agGLEFRnH,qgCZZFRnH,False
EgbOzdRFB,EgdOzzBPB,False
sydURK,sydtZK,False
FJhUSgbR,fhbObqBP,False
jhHBi,jhlRl,False
ZLQZrykL,ZLQZyykk,False
eAsJr,eAsJr,True
hlwZa,hiwZa,False
sDeDZcUIx,OOoOOooqX,False
bMnsyRRuG,bHhyyRBBG,False
fwfZaGNUe,fvZZGCJJe,False
SEeCfRy,SSeCfRy,False
IWRyOxK,UWRyOxK,False
eZIef,aZZvf,False
gmBwYx,gmPzYx,False
IzzawRY,izzxwRY,False
rdQOiCD,rdQQiDD,False
yyxjER,yyxjjR,False
IPkWPrW,IRkxPFW,False
YkanIx,Ykanlx,False
BkIMbgL,BkMMggL,False
QBMcAWPG,QDNAsWVP,False
RHAnX,RHAnX,True
sgxuLxsG,sgxxLzsG,False
afNHCK,afWHCK,False
VQEQduPv,VQQQddCv,False
gefdzy,gefdzy,True
cMzTooUp,cAUDDcdd,False
kkCHdA,xCCccK,False
GTDBFbpTc,GDDDEEpTc,False
YpCGmP,YpGGmP,False
emDRoY,emDDsK,False
HsPwoTswZ,eePvssswZ,False
skOyyU,skOyyU,True
LVmmYQPoe,LYmmLQQee,False
EFwFJJcRT,EFwFJJaRT,False
IssNL,lssNL,False
ANmtbmb,ANmibmb,False
BLzmG,BLmmG,False
paRvSi,pbPvSS,False
WjqOoKvV,WjqDdkvV,False
Rfhvpra,Rfnrpaa,False
OEhahqqV,OOiznqqV,False
LngDh,LngDh,True
HFMjlztA,HFMjLzAA,False
xbzVVeUci,xddVVeUrt,False
RogJYdWK,RcgLYdWK,False
rJocnuDy,rJooouDy,False
RYCBfVKFi,RtPPXXKRf,False
UHArba,UHAhba,False
ivJcaM,ivJooM,False
uMUhRDh,uMUhhRh,False
uYpDQVnY,uIjpQWnn,False
uVNUy,uWWWy,False
vPuMZnXh,vFwKXXXH,False
FcsdJkOo,FbobAkOo,False
TPsyTmQ,TPsyTmm,False
YaiWq,YdWWq,False
wXgkIsv,wWggWrr,False
RKCtEBZE,RREEEEEE,False
gqFKvXWvV,gdFHXXVvM,False
JXAjqxg,JXXqxxg,False
inGRhqze,inQhqqze,False
KYnkLKOSw,KhnXXKOBw,False
akZhpmdY,skAmmmoY,False
gRLmPDaQI,gRAmPOaQI,False
QZAkzQzV,QZAAkQQV,False
HPgKiZbw,HPEgZZbw,False
dikaXkwo,dtkkXkwo,False
uaiSM,uctSM,False
TPNIpx,TPHbkk,False
oyOzox,oyOoxx,False
rizki,rizkf,False
aKuYcVJd,aXzYYcVd,False
nOzomZDvj,fDiixxOxj,False
bVBJOQR,bNSlQQR,False
UQxHBs,UQxHBs,True
GJbfBJW,CUbHBWW,False
gLkmz,gLkmz,True
fxTWWuS,fvTWWuS,False
vYOSpCbgu,vFCEoCcpy,False
iYNFIeMK,iIITIaMK,False
lFvmZ,FinzZ,False
RYrqGQkXp,RYrqQQXkq,False
kYWSlFOrJ,kVWWSOOvI,False
MyIpfT,MvjpfT,False
bncnOzHRf,bnmrOzrPf,False
mrIuMXL,nruuMML,False
GQoMBj,CQpMRj,False
FMVuCJBy,FWVuOOBy,False
kMhCED,kMhCED,True
NbMsv,ddAxx,False
TcSRYP,ToSPYP,False
aKBoL,aKBoL,True
HipxiUdry,HjpxJJdpy,False
zhWdEY,zhWdEY,True
MIThpfEef,MTThdfeef,False
ircvn,Irrvn,False
XJzdBAn,XJddBAn,False
RjEWvTN,RjZNvTN,False
CRYgiQ,CRYgiQ,True
ttTiFVQ,iTTTVQQ,False
FgrwYeQ,FgwwYeQ,False
iwQOa,iwQOa,True
qiwFnfgh,qwwFfiih,False
XrNECq,XnWECq,False
UqabdE,UqdddE,False
ceTHuFfF,crYbuPTf,False
fOvlpYLC,fOOypYUC,False
ioRKb,ioRKb,True
pdZSl,pdZSI,False
jskMihsXP,jkkMihsXP,False
hviyzQ,hwiyQQ,False
ootqoFBV,oojqoFBV,False
rPCoHjjRa,rPPdHjjBa,False
iRaWuVh,iRbWVVh,False
bVgZORI,bNgZZRI,False
JCTmawP,UDPmxwP,False
wydQBhTJj,wydQBhTTj,False
WKdMvSw,WKdMwSw,False
qmBaKH,qmDxXK,False
dgEVdIdNb,dgEIdddNb,False
zrlRLl,zzNLLI,False
DRjrMF,ORjtfF,False
gEScV,gEScV,True
